"Rentrée";"Personnel";"etablissement_type";"Catégorie";"Corps";"code_corps";"Filière";"Sexe";"Effectif"
2015;"contractuels";"Université";"A";"Conservateurs généraux des bibliothèques";"CONSER. GEN.";"Bibliothèque";"Femme";0
2015;"contractuels";"Université";"A";"Conservateurs généraux des bibliothèques";"CONSER. GEN.";"Bibliothèque";"Homme";1
2015;"contractuels";"Université";"A";"Infirmiers catégorie A";"INF - A";"Sociale et de santé";"Femme";80
2015;"contractuels";"Université";"A";"Infirmiers catégorie A";"INF - A";"Sociale et de santé";"Homme";8
2015;"contractuels";"Université";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Femme";3047
2015;"contractuels";"Université";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Homme";1986
2015;"contractuels";"Université";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Femme";973
2015;"contractuels";"Université";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Homme";1197
2015;"contractuels";"Université";"A";"Médecins de l'éducation nationale";"MEN";"Sociale et de santé";"Femme";173
2015;"contractuels";"Université";"A";"Médecins de l'éducation nationale";"MEN";"Sociale et de santé";"Homme";63
2015;"contractuels";"Université";"A";"Médecins de prévention";"MED PREV";"Sociale et de santé";"Femme";129
2015;"contractuels";"Université";"A";"Médecins de prévention";"MED PREV";"Sociale et de santé";"Homme";38
2015;"contractuels";"Université";"B";"Assistants de service social des administrations de l'Etat";"ASSAE";"Sociale et de santé";"Femme";31
2015;"contractuels";"Université";"B";"Assistants de service social des administrations de l'Etat";"ASSAE";"Sociale et de santé";"Homme";1
2015;"contractuels";"Université";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Femme";141
2015;"contractuels";"Université";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Homme";35
2015;"contractuels";"Université";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Femme";347
2015;"contractuels";"Université";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Homme";61
2015;"contractuels";"Université";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Femme";2959
2015;"contractuels";"Université";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Homme";1325
2015;"contractuels";"Université";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Femme";1279
2015;"contractuels";"Université";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Homme";218
2015;"contractuels";"Université";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Femme";8435
2015;"contractuels";"Université";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Homme";3816
2015;"contractuels";"Université";"C";"Adjoints techniques des établissements d'enseignement";"ATEC";"Ouvrière";"Femme";14
2015;"contractuels";"Université";"C";"Adjoints techniques des établissements d'enseignement";"ATEC";"Ouvrière";"Homme";16
2015;"contractuels";"Université";"C";"Magasiniers";"MAG";"Bibliothèque";"Femme";309
2015;"contractuels";"Université";"C";"Magasiniers";"MAG";"Bibliothèque";"Homme";155
2015;"contractuels";NA;"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Femme";1
2015;"contractuels";NA;"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Homme";0
2015;"titulaires";"Autre établissement";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Femme";9
2015;"titulaires";"Autre établissement";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Homme";15
2015;"titulaires";"Autre établissement";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Femme";19
2015;"titulaires";"Autre établissement";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Homme";12
2015;"titulaires";"Autre établissement";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Femme";2
2015;"titulaires";"Autre établissement";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Homme";1
2015;"titulaires";"Autre établissement";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Femme";12
2015;"titulaires";"Autre établissement";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Homme";8
2015;"titulaires";"Autre établissement";"A";"Conservateurs généraux des bibliothèques";"CONSER. GEN.";"Bibliothèque";"Femme";1
2015;"titulaires";"Autre établissement";"A";"Conservateurs généraux des bibliothèques";"CONSER. GEN.";"Bibliothèque";"Homme";3
2015;"titulaires";"Autre établissement";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Femme";58
2015;"titulaires";"Autre établissement";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Homme";63
2015;"titulaires";"Autre établissement";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Femme";20
2015;"titulaires";"Autre établissement";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Homme";30
2015;"titulaires";"Autre établissement";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Femme";16
2015;"titulaires";"Autre établissement";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Homme";4
2015;"titulaires";"Autre établissement";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Femme";32
2015;"titulaires";"Autre établissement";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Homme";2
2015;"titulaires";"Autre établissement";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Femme";54
2015;"titulaires";"Autre établissement";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Homme";40
2015;"titulaires";"Autre établissement";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Femme";56
2015;"titulaires";"Autre établissement";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Homme";2
2015;"titulaires";"Autre établissement";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Femme";76
2015;"titulaires";"Autre établissement";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Homme";61
2015;"titulaires";"Autre établissement";"C";"Adjoints techniques des établissements d'enseignement";"ATEC";"Ouvrière";"Femme";3
2015;"titulaires";"Autre établissement";"C";"Adjoints techniques des établissements d'enseignement";"ATEC";"Ouvrière";"Homme";8
2015;"titulaires";"Autre établissement";"C";"Magasiniers";"MAG";"Bibliothèque";"Femme";2
2015;"titulaires";"Autre établissement";"C";"Magasiniers";"MAG";"Bibliothèque";"Homme";6
2015;"titulaires";"Bibliothèque";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Femme";1
2015;"titulaires";"Bibliothèque";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Homme";1
2015;"titulaires";"Bibliothèque";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Femme";1
2015;"titulaires";"Bibliothèque";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Homme";2
2015;"titulaires";"Bibliothèque";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Femme";12
2015;"titulaires";"Bibliothèque";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Homme";4
2015;"titulaires";"Bibliothèque";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Femme";14
